,county_state,county,state,state_long,total_zipcode_score,id
0,"Abbeville County, SC",Abbeville County,SC,South Carolina,0.4593331766048602,45001
1,"Acadia Parish, LA",Acadia Parish,LA,Louisiana,0.41979620624819947,22001
2,"Accomack County, VA",Accomack County,VA,Virginia,0.3725688792219667,51001
3,"Ada County, ID",Ada County,ID,Idaho,0.6762018049210846,16001
4,"Adair County, IA",Adair County,IA,Iowa,0.480542121070704,19001
5,"Adair County, KY",Adair County,KY,Kentucky,0.3795758302861418,21001
6,"Adair County, MO",Adair County,MO,Missouri,0.41858347681456,29001
7,"Adair County, OK",Adair County,OK,Oklahoma,0.3538079327731093,40001
8,"Adams County, CO",Adams County,CO,Colorado,0.6763710102770369,08001
9,"Adams County, IA",Adams County,IA,Iowa,0.3880326389008736,19003
10,"Adams County, ID",Adams County,ID,Idaho,0.5076318151260504,16003
11,"Adams County, IL",Adams County,IL,Illinois,0.4889066321401853,17001
12,"Adams County, IN",Adams County,IN,Indiana,0.4651384571255573,18001
13,"Adams County, MS",Adams County,MS,Mississippi,0.4103347373880749,28001
14,"Adams County, ND",Adams County,ND,North Dakota,0.45205717919304333,38001
15,"Adams County, NE",Adams County,NE,Nebraska,0.5570442708565545,31001
16,"Adams County, OH",Adams County,OH,Ohio,0.4039476302521008,39001
17,"Adams County, PA",Adams County,PA,Pennsylvania,0.5984433286177401,42001
18,"Adams County, WA",Adams County,WA,Washington,0.4118093109243698,53001
19,"Adams County, WI",Adams County,WI,Wisconsin,0.4077310502553146,55001
20,"Addison County, VT",Addison County,VT,Vermont,0.4804188671651421,50001
21,"Aiken County, SC",Aiken County,SC,South Carolina,0.4796783532081772,45003
22,"Aitkin County, MN",Aitkin County,MN,Minnesota,0.46800198319327735,27001
23,"Alachua County, FL",Alachua County,FL,Florida,0.5488544138349907,12001
24,"Alamance County, NC",Alamance County,NC,North Carolina,0.5892375761997748,37001
25,"Alameda County, CA",Alameda County,CA,California,0.694978118087174,06001
26,"Alamosa County, CO",Alamosa County,CO,Colorado,0.4121347595523678,08003
27,"Albany County, NY",Albany County,NY,New York,0.5783939192596492,36001
28,"Albany County, WY",Albany County,WY,Wyoming,0.49871484033613445,56001
29,"Albemarle County, VA",Albemarle County,VA,Virginia,0.5772546891231292,51003
30,"Alcona County, MI",Alcona County,MI,Michigan,0.381537243697479,26001
31,"Alcorn County, MS",Alcorn County,MS,Mississippi,0.4199516652588497,28003
32,"Alexander County, IL",Alexander County,IL,Illinois,0.2785030339182305,17003
33,"Alexander County, NC",Alexander County,NC,North Carolina,0.5354260740198212,37003
34,"Alexandria city, VA",Alexandria city,VA,Virginia,0.7079874193652784,51510
35,"Alfalfa County, OK",Alfalfa County,OK,Oklahoma,0.532301899159664,40003
36,"Alger County, MI",Alger County,MI,Michigan,0.3527314621848739,26003
37,"Allamakee County, IA",Allamakee County,IA,Iowa,0.4122609334183037,19005
38,"Allegan County, MI",Allegan County,MI,Michigan,0.6211346771674379,26005
39,"Allegany County, MD",Allegany County,MD,Maryland,0.3776655108475797,24001
40,"Allegany County, NY",Allegany County,NY,New York,0.3970504201680672,36003
41,"Alleghany County, NC",Alleghany County,NC,North Carolina,0.4063078953186756,37005
42,"Alleghany County, VA",Alleghany County,VA,Virginia,0.4685914681383243,51005
